store_key,product_name,brand,size,price,observed_at,source_url,checked_by,seed_estimate_for_reference
clicks,Dishwashing Liquid,Sunlight,750ml,,,,,34.95
clicks,Petroleum Jelly,Vaseline,250ml,,,,,42.95
clicks,Roll-On Deodorant,Shield,50ml,,,,,34.95
clicks,Sanitary Pads,Always,10 pack,,,,,32.95
clicks,Shampoo,Head & Shoulders,400ml,,,,,54.95
clicks,Sunlight Soap Bar,Sunlight,175g,,,,,13.95
clicks,Toilet Paper 2-Ply,Baby Soft,9 pack,,,,,74.95
clicks,Toothpaste,Colgate,100ml,,,,,32.95
foodlovers,2-Minute Noodles,Maggi,5 x 73g,,,,,23.99
foodlovers,Baked Beans,Koo,410g,,,,,14.49
foodlovers,Bananas,Loose,1kg,,,,,19.49
foodlovers,Brown Bread,Albany,700g,,,,,16.49
foodlovers,Cabbage,Loose,1 head,,,,,22.49
foodlovers,Cake Flour,Snowflake,2.5kg,,,,,29.49
foodlovers,Frozen Chicken Portions,Goldi,2kg,,,,,80.49
foodlovers,Full Cream Milk,Clover,2L,,,,,31.49
foodlovers,Large Eggs,Nulaid,18 pack,,,,,51.99
foodlovers,Onions,Loose,2kg,,,,,29.49
foodlovers,Parboiled White Rice,Tastic,2kg,,,,,38.49
foodlovers,Pilchards in Tomato Sauce,Lucky Star,400g,,,,,24.99
foodlovers,Potatoes,Loose,2kg,,,,,26.95
foodlovers,Sunflower Oil,Sunfoil,2L,,,,,62.95
foodlovers,Super Maize Meal,Ace,2.5kg,,,,,37.49
foodlovers,Tagless Teabags,Five Roses,100s,,,,,40.49
foodlovers,Tomatoes,Loose,1kg,,,,,22.49
foodlovers,White Bread,Albany,700g,,,,,17.95
foodlovers,White Sugar,Huletts,2.5kg,,,,,53.95
game,LED Desk Lamp,Eurolux,Small,,,,,246.49
game,Multi-Plug Adaptor,Ellies,4-way,,,,,148.49
game,Power Bank,Romoss,10000mAh,,,,,345.49
game,USB Flash Drive,SanDisk,64GB,,,,,177.00
game,Wired Earphones,Sony,3.5mm,,,,,196.95
game,2-Plate Hotplate,Salton,Compact,,,,,425.95
game,Bath Towel,Colibri,Large,,,,,141.49
game,Kettle,Russell Hobbs,1.7L,,,,,312.00
game,Single Fitted Sheet,Sheraton,Single,,,,,179.49
game,Storage Crate,Addis,30L,,,,,123.49
game,A4 Feint & Margin Book,Croxley,72 page,,,,,18.49
game,A4 Printing Paper,Typek,500 sheets,,,,,106.49
game,A4 Printing Paper,Typek,500 sheets,,,,,106.49
game,Ballpoint Pens,BIC,10 pack,,,,,38.95
game,Scientific Calculator,Casio,FX-82ZA,,,,,338.00
incredible,Multi-Plug Adaptor,Ellies,4-way,,,,,163.49
incredible,Power Bank,Romoss,10000mAh,,,,,380.00
incredible,USB Flash Drive,SanDisk,64GB,,,,,194.95
incredible,Wired Earphones,Sony,3.5mm,,,,,216.49
incredible,2-Plate Hotplate,Salton,Compact,,,,,523.49
incredible,Kettle,Russell Hobbs,1.7L,,,,,383.49
incredible,Scientific Calculator,Casio,FX-82ZA,,,,,391.49
makro,LED Desk Lamp,Eurolux,Small,,,,,216.49
makro,Multi-Plug Adaptor,Ellies,4-way,,,,,130.49
makro,Power Bank,Romoss,10000mAh,,,,,303.49
makro,USB Flash Drive,SanDisk,64GB,,,,,155.49
makro,Wired Earphones,Sony,3.5mm,,,,,173.00
makro,2-Minute Noodles,Maggi,5 x 73g,,,,,22.95
makro,Baked Beans,Koo,410g,,,,,13.49
makro,Bananas,Loose,1kg,,,,,18.49
makro,Brown Bread,Albany,700g,,,,,15.95
makro,Cabbage,Loose,1 head,,,,,21.49
makro,Cake Flour,Snowflake,2.5kg,,,,,27.99
makro,Frozen Chicken Portions,Goldi,2kg,,,,,76.49
makro,Full Cream Milk,Clover,2L,,,,,29.95
makro,Instant Oats,Jungle,1kg,,,,,39.99
makro,Large Eggs,Nulaid,18 pack,,,,,49.49
makro,Margarine Spread,Rama,1kg,,,,,39.99
makro,Onions,Loose,2kg,,,,,27.99
makro,Parboiled White Rice,Tastic,2kg,,,,,36.49
makro,Peanut Butter,Black Cat,400g,,,,,39.99
makro,Pilchards in Tomato Sauce,Lucky Star,400g,,,,,23.95
makro,Potatoes,Loose,2kg,,,,,25.49
makro,Samp,Imbo,1kg,,,,,16.99
makro,Sugar Beans,Imbo,1kg,,,,,27.99
makro,Sunflower Oil,Sunfoil,2L,,,,,59.49
makro,Super Maize Meal,Ace,2.5kg,,,,,35.95
makro,Tagless Teabags,Five Roses,100s,,,,,38.49
makro,Tomatoes,Loose,1kg,,,,,21.49
makro,White Bread,Albany,700g,,,,,16.99
makro,White Sugar,Huletts,2.5kg,,,,,50.99
makro,2-Plate Hotplate,Salton,Compact,,,,,382.00
makro,Bath Towel,Colibri,Large,,,,,126.95
makro,Kettle,Russell Hobbs,1.7L,,,,,279.99
makro,Single Fitted Sheet,Sheraton,Single,,,,,160.95
makro,Storage Crate,Addis,30L,,,,,110.49
makro,A4 Feint & Margin Book,Croxley,72 page,,,,,16.49
makro,A4 Printing Paper,Typek,500 sheets,,,,,95.49
makro,Ballpoint Pens,BIC,10 pack,,,,,34.95
makro,Scientific Calculator,Casio,FX-82ZA,,,,,303.49
makro,Antibacterial Soap,Dettol,175g,,,,,15.49
makro,Auto Washing Powder,OMO,2kg,,,,,80.95
makro,Dishwashing Liquid,Sunlight,750ml,,,,,29.95
makro,Petroleum Jelly,Vaseline,250ml,,,,,36.49
makro,Roll-On Deodorant,Shield,50ml,,,,,29.95
makro,Sanitary Pads,Always,10 pack,,,,,27.99
makro,Shampoo,Head & Shoulders,400ml,,,,,46.95
makro,Sunlight Soap Bar,Sunlight,175g,,,,,11.95
makro,Toilet Paper 2-Ply,Baby Soft,9 pack,,,,,63.95
makro,Toothpaste,Colgate,100ml,,,,,27.99
picknpay,2-Minute Noodles,Maggi,5 x 73g,,,,,29.95
picknpay,Baked Beans,Koo,410g,,,,,17.49
picknpay,Bananas,Loose,1kg,,,,,24.49
picknpay,Brown Bread,Albany,700g,,,,,20.49
picknpay,Cabbage,Loose,1 head,,,,,27.49
picknpay,Cake Flour,Snowflake,2.5kg,,,,,36.49
picknpay,Frozen Chicken Portions,Goldi,2kg,,,,,98.99
picknpay,Full Cream Milk,Clover,2L,,,,,38.49
picknpay,Instant Oats,Jungle,1kg,,,,,51.95
picknpay,Large Eggs,Nulaid,18 pack,,,,,63.95
picknpay,Margarine Spread,Rama,1kg,,,,,51.95
picknpay,Onions,Loose,2kg,,,,,36.49
picknpay,Parboiled White Rice,Tastic,2kg,,,,,47.49
picknpay,Peanut Butter,Black Cat,400g,,,,,51.95
picknpay,Pilchards in Tomato Sauce,Lucky Star,400g,,,,,30.95
picknpay,Polony,Eskort,1kg,,,,,32.99
picknpay,Potatoes,Loose,2kg,,,,,32.99
picknpay,Samp,Imbo,1kg,,,,,21.99
picknpay,Sugar Beans,Imbo,1kg,,,,,36.49
picknpay,Sunflower Oil,Sunfoil,2L,,,,,76.99
picknpay,Super Maize Meal,Ace,2.5kg,,,,,46.49
picknpay,Tagless Teabags,Five Roses,100s,,,,,49.49
picknpay,Tomatoes,Loose,1kg,,,,,27.49
picknpay,White Bread,Albany,700g,,,,,21.99
picknpay,White Sugar,Huletts,2.5kg,,,,,65.99
picknpay,A4 Feint & Margin Book,Croxley,72 page,,,,,20.95
picknpay,Antibacterial Soap,Dettol,175g,,,,,19.49
picknpay,Auto Washing Powder,OMO,2kg,,,,,101.49
picknpay,Dishwashing Liquid,Sunlight,750ml,,,,,37.49
picknpay,Petroleum Jelly,Vaseline,250ml,,,,,45.99
picknpay,Roll-On Deodorant,Shield,50ml,,,,,37.49
picknpay,Sanitary Pads,Always,10 pack,,,,,35.49
picknpay,Shampoo,Head & Shoulders,400ml,,,,,58.95
picknpay,Sunlight Soap Bar,Sunlight,175g,,,,,14.99
picknpay,Toilet Paper 2-Ply,Baby Soft,9 pack,,,,,80.49
picknpay,Toothpaste,Colgate,100ml,,,,,35.49
shoprite,2-Minute Noodles,Maggi,5 x 73g,,,,,25.99
shoprite,Baked Beans,Koo,410g,,,,,15.49
shoprite,Bananas,Loose,1kg,,,,,20.99
shoprite,Brown Bread,Albany,700g,,,,,17.95
shoprite,Cabbage,Loose,1 head,,,,,23.99
shoprite,Cake Flour,Snowflake,2.5kg,,,,,31.95
shoprite,Frozen Chicken Portions,Goldi,2kg,,,,,86.49
shoprite,Full Cream Milk,Clover,2L,,,,,33.49
shoprite,Instant Oats,Jungle,1kg,,,,,45.49
shoprite,Large Eggs,Nulaid,18 pack,,,,,55.95
shoprite,Margarine Spread,Rama,1kg,,,,,45.49
shoprite,Onions,Loose,2kg,,,,,31.95
shoprite,Parboiled White Rice,Tastic,2kg,,,,,41.49
shoprite,Peanut Butter,Black Cat,400g,,,,,45.49
shoprite,Pilchards in Tomato Sauce,Lucky Star,400g,,,,,26.95
shoprite,Polony,Eskort,1kg,,,,,28.95
shoprite,Potatoes,Loose,2kg,,,,,28.95
shoprite,Samp,Imbo,1kg,,,,,19.49
shoprite,Sugar Beans,Imbo,1kg,,,,,31.95
shoprite,Sunflower Oil,Sunfoil,2L,,,,,67.49
shoprite,Super Maize Meal,Ace,2.5kg,,,,,40.49
shoprite,Tagless Teabags,Five Roses,100s,,,,,43.49
shoprite,Tomatoes,Loose,1kg,,,,,23.99
shoprite,White Bread,Albany,700g,,,,,19.49
shoprite,White Sugar,Huletts,2.5kg,,,,,57.95
shoprite,Antibacterial Soap,Dettol,175g,,,,,17.49
shoprite,Auto Washing Powder,OMO,2kg,,,,,92.49
shoprite,Dishwashing Liquid,Sunlight,750ml,,,,,33.99
shoprite,Petroleum Jelly,Vaseline,250ml,,,,,41.95
shoprite,Roll-On Deodorant,Shield,50ml,,,,,33.99
shoprite,Sanitary Pads,Always,10 pack,,,,,31.99
shoprite,Sunlight Soap Bar,Sunlight,175g,,,,,13.49
shoprite,Toilet Paper 2-Ply,Baby Soft,9 pack,,,,,72.95
shoprite,Toothpaste,Colgate,100ml,,,,,31.99
spar,2-Minute Noodles,Maggi,5 x 73g,,,,,27.95
spar,Baked Beans,Koo,410g,,,,,16.49
spar,Bananas,Loose,1kg,,,,,22.49
spar,Brown Bread,Albany,700g,,,,,18.99
spar,Cabbage,Loose,1 head,,,,,25.95
spar,Cake Flour,Snowflake,2.5kg,,,,,33.99
spar,Frozen Chicken Portions,Goldi,2kg,,,,,92.95
spar,Full Cream Milk,Clover,2L,,,,,35.99
spar,Instant Oats,Jungle,1kg,,,,,48.49
spar,Large Eggs,Nulaid,18 pack,,,,,59.95
spar,Margarine Spread,Rama,1kg,,,,,48.49
spar,Onions,Loose,2kg,,,,,33.99
spar,Parboiled White Rice,Tastic,2kg,,,,,44.49
spar,Peanut Butter,Black Cat,400g,,,,,48.49
spar,Pilchards in Tomato Sauce,Lucky Star,400g,,,,,28.95
spar,Polony,Eskort,1kg,,,,,30.95
spar,Potatoes,Loose,2kg,,,,,30.95
spar,Sugar Beans,Imbo,1kg,,,,,33.99
spar,Sunflower Oil,Sunfoil,2L,,,,,72.49
spar,Super Maize Meal,Ace,2.5kg,,,,,43.49
spar,Tagless Teabags,Five Roses,100s,,,,,46.49
spar,Tomatoes,Loose,1kg,,,,,25.95
spar,White Bread,Albany,700g,,,,,20.49
spar,White Sugar,Huletts,2.5kg,,,,,61.95
spar,Antibacterial Soap,Dettol,175g,,,,,18.49
spar,Auto Washing Powder,OMO,2kg,,,,,97.99
spar,Dishwashing Liquid,Sunlight,750ml,,,,,35.99
spar,Petroleum Jelly,Vaseline,250ml,,,,,44.49
spar,Roll-On Deodorant,Shield,50ml,,,,,35.99
spar,Sanitary Pads,Always,10 pack,,,,,33.99
spar,Sunlight Soap Bar,Sunlight,175g,,,,,14.49
spar,Toilet Paper 2-Ply,Baby Soft,9 pack,,,,,77.49
spar,Toothpaste,Colgate,100ml,,,,,33.99
takealot,LED Desk Lamp,Eurolux,Small,,,,,224.49
takealot,Multi-Plug Adaptor,Ellies,4-way,,,,,135.00
takealot,Power Bank,Romoss,10000mAh,,,,,314.49
takealot,USB Flash Drive,SanDisk,64GB,,,,,161.49
takealot,Wired Earphones,Sony,3.5mm,,,,,179.49
takealot,2-Plate Hotplate,Salton,Compact,,,,,418.00
takealot,Bath Towel,Colibri,Large,,,,,138.49
takealot,Kettle,Russell Hobbs,1.7L,,,,,306.49
takealot,Single Fitted Sheet,Sheraton,Single,,,,,175.95
takealot,Storage Crate,Addis,30L,,,,,121.00
takealot,A4 Feint & Margin Book,Croxley,72 page,,,,,17.49
takealot,A4 Printing Paper,Typek,500 sheets,,,,,100.00
takealot,Ballpoint Pens,BIC,10 pack,,,,,36.49
takealot,Scientific Calculator,Casio,FX-82ZA,,,,,318.00
takealot,Shampoo,Head & Shoulders,400ml,,,,,52.95
