id,name,brand,category,subcategory,colour,size,unit,price,currency,store_id,store_name,store_suburb,store_lat,store_lng,distance_km,shipping_fee,total_cost,delivery_available,collection_available,in_stock,rating,icon
P012,Parboiled White Rice,Tastic,Groceries,Staples,n/a,2kg,pack,36.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,101.49,True,True,True,4.6,🍚
P013,Cake Flour,Snowflake,Groceries,Staples,n/a,2.5kg,pack,31.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,31.95,False,True,True,4.4,🌾
P014,Cake Flour,Snowflake,Groceries,Staples,n/a,2.5kg,pack,33.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,68.95,True,True,True,4.4,🌾
P015,Cake Flour,Snowflake,Groceries,Staples,n/a,2.5kg,pack,36.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,81.49,True,True,True,4.4,🌾
P016,Cake Flour,Snowflake,Groceries,Staples,n/a,2.5kg,pack,33.99,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,73.99,True,True,True,4.4,🌾
P017,Cake Flour,Snowflake,Groceries,Staples,n/a,2.5kg,pack,29.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,74.49,True,True,True,4.4,🌾
P018,Cake Flour,Snowflake,Groceries,Staples,n/a,2.5kg,pack,27.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,92.99,True,True,True,4.4,🌾
P019,Samp,Imbo,Groceries,Staples,n/a,1kg,pack,19.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,19.49,False,True,True,4.2,🌽
P020,Samp,Imbo,Groceries,Staples,n/a,1kg,pack,20.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,55.49,True,True,True,4.2,🌽
P021,Samp,Imbo,Groceries,Staples,n/a,1kg,pack,21.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,66.99,True,True,True,4.2,🌽
P022,Samp,Imbo,Groceries,Staples,n/a,1kg,pack,16.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,81.99,True,True,True,4.2,🌽
P023,Sugar Beans,Imbo,Groceries,Staples,n/a,1kg,pack,31.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,31.95,False,True,True,4.3,🫘
P024,Sugar Beans,Imbo,Groceries,Staples,n/a,1kg,pack,33.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,68.95,True,True,True,4.3,🫘
P025,Sugar Beans,Imbo,Groceries,Staples,n/a,1kg,pack,36.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,81.49,True,True,True,4.3,🫘
P026,Sugar Beans,Imbo,Groceries,Staples,n/a,1kg,pack,33.99,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,73.99,True,True,True,4.3,🫘
P027,Sugar Beans,Imbo,Groceries,Staples,n/a,1kg,pack,27.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,92.99,True,True,True,4.3,🫘
P028,2-Minute Noodles,Maggi,Groceries,Pantry,n/a,5 x 73g,pack,25.99,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,25.99,False,True,True,4.0,🍜
P029,2-Minute Noodles,Maggi,Groceries,Pantry,n/a,5 x 73g,pack,27.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,62.49,True,True,True,4.0,🍜
P030,2-Minute Noodles,Maggi,Groceries,Pantry,n/a,5 x 73g,pack,29.95,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,74.95,True,True,True,4.0,🍜
P031,2-Minute Noodles,Maggi,Groceries,Pantry,n/a,5 x 73g,pack,27.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,67.95,True,True,True,4.0,🍜
P032,2-Minute Noodles,Maggi,Groceries,Pantry,n/a,5 x 73g,pack,23.99,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,68.99,True,True,True,4.0,🍜
P033,2-Minute Noodles,Maggi,Groceries,Pantry,n/a,5 x 73g,pack,22.95,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,87.95,True,True,True,4.0,🍜
P034,Instant Oats,Jungle,Groceries,Staples,n/a,1kg,pack,45.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,45.49,False,True,True,4.4,🥣
P035,Instant Oats,Jungle,Groceries,Staples,n/a,1kg,pack,47.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,82.99,True,True,True,4.4,🥣
P036,Instant Oats,Jungle,Groceries,Staples,n/a,1kg,pack,51.95,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,96.95,True,True,True,4.4,🥣
P037,Instant Oats,Jungle,Groceries,Staples,n/a,1kg,pack,48.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,88.49,True,True,True,4.4,🥣
P038,Instant Oats,Jungle,Groceries,Staples,n/a,1kg,pack,39.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,104.99,True,True,True,4.4,🥣
P039,White Bread,Albany,Groceries,Bakery,n/a,700g,loaf,19.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,19.49,False,True,True,4.2,🍞
P040,White Bread,Albany,Groceries,Bakery,n/a,700g,loaf,20.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,55.49,True,True,True,4.2,🍞
P041,White Bread,Albany,Groceries,Bakery,n/a,700g,loaf,21.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,66.99,True,True,True,4.2,🍞
P042,White Bread,Albany,Groceries,Bakery,n/a,700g,loaf,20.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,60.49,True,True,True,4.2,🍞
P043,White Bread,Albany,Groceries,Bakery,n/a,700g,loaf,17.95,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,62.95,True,True,True,4.2,🍞
P044,White Bread,Albany,Groceries,Bakery,n/a,700g,loaf,16.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,81.99,True,True,True,4.2,🍞
P045,Brown Bread,Albany,Groceries,Bakery,n/a,700g,loaf,17.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,17.95,False,True,True,4.2,🍞
P046,Brown Bread,Albany,Groceries,Bakery,n/a,700g,loaf,18.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,53.95,True,True,True,4.2,🍞
P047,Brown Bread,Albany,Groceries,Bakery,n/a,700g,loaf,20.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,65.49,True,True,True,4.2,🍞
P048,Brown Bread,Albany,Groceries,Bakery,n/a,700g,loaf,18.99,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,58.99,True,True,True,4.2,🍞
P049,Brown Bread,Albany,Groceries,Bakery,n/a,700g,loaf,16.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,61.49,True,True,True,4.2,🍞
P050,Brown Bread,Albany,Groceries,Bakery,n/a,700g,loaf,15.95,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,80.95,True,True,True,4.2,🍞
P051,Full Cream Milk,Clover,Groceries,Dairy,n/a,2L,bottle,33.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,33.49,False,True,True,4.5,🥛
P052,Full Cream Milk,Clover,Groceries,Dairy,n/a,2L,bottle,35.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,70.95,True,True,True,4.5,🥛
P053,Full Cream Milk,Clover,Groceries,Dairy,n/a,2L,bottle,38.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,83.49,True,True,True,4.5,🥛
P054,Full Cream Milk,Clover,Groceries,Dairy,n/a,2L,bottle,35.99,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,75.99,True,True,True,4.5,🥛
P055,Full Cream Milk,Clover,Groceries,Dairy,n/a,2L,bottle,31.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,76.49,True,True,True,4.5,🥛
P056,Full Cream Milk,Clover,Groceries,Dairy,n/a,2L,bottle,29.95,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,94.95,True,True,True,4.5,🥛
P057,Large Eggs,Nulaid,Groceries,Dairy,n/a,18 pack,tray,55.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,55.95,False,True,True,4.3,🥚
P058,Large Eggs,Nulaid,Groceries,Dairy,n/a,18 pack,tray,59.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,94.49,True,True,True,4.3,🥚
P059,Large Eggs,Nulaid,Groceries,Dairy,n/a,18 pack,tray,63.95,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,108.95,True,True,True,4.3,🥚
P060,Large Eggs,Nulaid,Groceries,Dairy,n/a,18 pack,tray,59.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,99.95,True,True,True,4.3,🥚
P061,Large Eggs,Nulaid,Groceries,Dairy,n/a,18 pack,tray,51.99,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,96.99,True,True,True,4.3,🥚
P062,Large Eggs,Nulaid,Groceries,Dairy,n/a,18 pack,tray,49.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,114.49,True,True,True,4.3,🥚
P063,Margarine Spread,Rama,Groceries,Dairy,n/a,1kg,tub,45.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,45.49,False,True,True,4.1,🧈
P064,Margarine Spread,Rama,Groceries,Dairy,n/a,1kg,tub,47.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,82.99,True,True,True,4.1,🧈
P065,Margarine Spread,Rama,Groceries,Dairy,n/a,1kg,tub,51.95,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,96.95,True,True,True,4.1,🧈
P066,Margarine Spread,Rama,Groceries,Dairy,n/a,1kg,tub,48.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,88.49,True,True,True,4.1,🧈
P067,Margarine Spread,Rama,Groceries,Dairy,n/a,1kg,tub,39.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,104.99,True,True,True,4.1,🧈
P068,Frozen Chicken Portions,Goldi,Groceries,Meat,n/a,2kg,pack,86.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,86.49,False,True,True,4.1,🍗
P069,Frozen Chicken Portions,Goldi,Groceries,Meat,n/a,2kg,pack,91.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,126.99,True,True,True,4.1,🍗
P070,Frozen Chicken Portions,Goldi,Groceries,Meat,n/a,2kg,pack,98.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,143.99,True,True,True,4.1,🍗
P071,Frozen Chicken Portions,Goldi,Groceries,Meat,n/a,2kg,pack,92.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,132.95,True,True,True,4.1,🍗
P072,Frozen Chicken Portions,Goldi,Groceries,Meat,n/a,2kg,pack,80.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,125.49,True,True,True,4.1,🍗
P073,Frozen Chicken Portions,Goldi,Groceries,Meat,n/a,2kg,pack,76.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,141.49,True,True,True,4.1,🍗
P074,Polony,Eskort,Groceries,Meat,n/a,1kg,roll,28.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,28.95,False,True,True,3.9,🥓
P075,Polony,Eskort,Groceries,Meat,n/a,1kg,roll,30.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,65.95,True,True,True,3.9,🥓
P076,Polony,Eskort,Groceries,Meat,n/a,1kg,roll,32.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,77.99,True,True,True,3.9,🥓
P077,Polony,Eskort,Groceries,Meat,n/a,1kg,roll,30.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,70.95,True,True,True,3.9,🥓
P078,Sunflower Oil,Sunfoil,Groceries,Pantry,n/a,2L,bottle,67.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,67.49,False,True,True,4.4,🫗
P079,Sunflower Oil,Sunfoil,Groceries,Pantry,n/a,2L,bottle,71.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,106.95,True,True,True,4.4,🫗
P080,Sunflower Oil,Sunfoil,Groceries,Pantry,n/a,2L,bottle,76.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,121.99,True,True,True,4.4,🫗
P081,Sunflower Oil,Sunfoil,Groceries,Pantry,n/a,2L,bottle,72.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,112.49,True,True,True,4.4,🫗
P082,Sunflower Oil,Sunfoil,Groceries,Pantry,n/a,2L,bottle,62.95,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,107.95,True,True,True,4.4,🫗
P083,Sunflower Oil,Sunfoil,Groceries,Pantry,n/a,2L,bottle,59.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,124.49,True,True,True,4.4,🫗
P084,White Sugar,Huletts,Groceries,Pantry,n/a,2.5kg,pack,57.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,57.95,False,True,True,4.5,🧂
P085,White Sugar,Huletts,Groceries,Pantry,n/a,2.5kg,pack,61.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,96.49,True,True,True,4.5,🧂
P086,White Sugar,Huletts,Groceries,Pantry,n/a,2.5kg,pack,65.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,110.99,True,True,True,4.5,🧂
P087,White Sugar,Huletts,Groceries,Pantry,n/a,2.5kg,pack,61.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,101.95,True,True,True,4.5,🧂
P088,White Sugar,Huletts,Groceries,Pantry,n/a,2.5kg,pack,53.95,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,98.95,True,True,True,4.5,🧂
P089,White Sugar,Huletts,Groceries,Pantry,n/a,2.5kg,pack,50.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,115.99,True,True,True,4.5,🧂
P090,Baked Beans,Koo,Groceries,Canned,n/a,410g,tin,15.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,15.49,False,True,True,4.3,🫘
P091,Baked Beans,Koo,Groceries,Canned,n/a,410g,tin,16.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,51.49,True,True,True,4.3,🫘
P092,Baked Beans,Koo,Groceries,Canned,n/a,410g,tin,17.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,62.49,True,True,True,4.3,🫘
P093,Baked Beans,Koo,Groceries,Canned,n/a,410g,tin,16.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,56.49,True,True,True,4.3,🫘
P094,Baked Beans,Koo,Groceries,Canned,n/a,410g,tin,14.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,59.49,True,True,True,4.3,🫘
P095,Baked Beans,Koo,Groceries,Canned,n/a,410g,tin,13.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,78.49,True,True,True,4.3,🫘
P096,Pilchards in Tomato Sauce,Lucky Star,Groceries,Canned,n/a,400g,tin,26.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,26.95,False,True,True,4.4,🐟
P097,Pilchards in Tomato Sauce,Lucky Star,Groceries,Canned,n/a,400g,tin,28.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,63.49,True,True,True,4.4,🐟
P098,Pilchards in Tomato Sauce,Lucky Star,Groceries,Canned,n/a,400g,tin,30.95,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,75.95,True,True,True,4.4,🐟
P099,Pilchards in Tomato Sauce,Lucky Star,Groceries,Canned,n/a,400g,tin,28.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,68.95,True,True,True,4.4,🐟
P100,Pilchards in Tomato Sauce,Lucky Star,Groceries,Canned,n/a,400g,tin,24.99,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,69.99,True,True,True,4.4,🐟
P101,Pilchards in Tomato Sauce,Lucky Star,Groceries,Canned,n/a,400g,tin,23.95,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,88.95,True,True,True,4.4,🐟
P102,Peanut Butter,Black Cat,Groceries,Pantry,n/a,400g,jar,45.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,45.49,False,True,True,4.5,🥜
P103,Peanut Butter,Black Cat,Groceries,Pantry,n/a,400g,jar,47.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,82.99,True,True,True,4.5,🥜
P104,Peanut Butter,Black Cat,Groceries,Pantry,n/a,400g,jar,51.95,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,96.95,True,True,True,4.5,🥜
P105,Peanut Butter,Black Cat,Groceries,Pantry,n/a,400g,jar,48.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,88.49,True,True,True,4.5,🥜
P106,Peanut Butter,Black Cat,Groceries,Pantry,n/a,400g,jar,39.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,104.99,True,True,True,4.5,🥜
P107,Tagless Teabags,Five Roses,Groceries,Pantry,n/a,100s,box,43.49,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,43.49,False,True,True,4.4,🍵
P108,Tagless Teabags,Five Roses,Groceries,Pantry,n/a,100s,box,45.99,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,80.99,True,True,True,4.4,🍵
P109,Tagless Teabags,Five Roses,Groceries,Pantry,n/a,100s,box,49.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,94.49,True,True,True,4.4,🍵
P110,Tagless Teabags,Five Roses,Groceries,Pantry,n/a,100s,box,46.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,86.49,True,True,True,4.4,🍵
P111,Tagless Teabags,Five Roses,Groceries,Pantry,n/a,100s,box,40.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,85.49,True,True,True,4.4,🍵
P112,Tagless Teabags,Five Roses,Groceries,Pantry,n/a,100s,box,38.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,103.49,True,True,True,4.4,🍵
P113,Potatoes,Loose,Groceries,Fresh Produce,n/a,2kg,bag,28.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,28.95,False,True,True,4.5,🥔
P114,Potatoes,Loose,Groceries,Fresh Produce,n/a,2kg,bag,30.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,65.95,True,True,True,4.5,🥔
P115,Potatoes,Loose,Groceries,Fresh Produce,n/a,2kg,bag,32.99,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,77.99,True,True,True,4.5,🥔
P116,Potatoes,Loose,Groceries,Fresh Produce,n/a,2kg,bag,30.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,70.95,True,True,True,4.5,🥔
P117,Potatoes,Loose,Groceries,Fresh Produce,n/a,2kg,bag,26.95,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,71.95,True,True,True,4.5,🥔
P118,Potatoes,Loose,Groceries,Fresh Produce,n/a,2kg,bag,25.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,90.49,True,True,True,4.5,🥔
P119,Onions,Loose,Groceries,Fresh Produce,n/a,2kg,bag,31.95,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,31.95,False,True,True,4.4,🧅
P120,Onions,Loose,Groceries,Fresh Produce,n/a,2kg,bag,33.95,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,68.95,True,True,True,4.4,🧅
P121,Onions,Loose,Groceries,Fresh Produce,n/a,2kg,bag,36.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,81.49,True,True,True,4.4,🧅
P122,Onions,Loose,Groceries,Fresh Produce,n/a,2kg,bag,33.99,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,73.99,True,True,True,4.4,🧅
P123,Onions,Loose,Groceries,Fresh Produce,n/a,2kg,bag,29.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,74.49,True,True,True,4.4,🧅
P124,Onions,Loose,Groceries,Fresh Produce,n/a,2kg,bag,27.99,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,92.99,True,True,True,4.4,🧅
P125,Tomatoes,Loose,Groceries,Fresh Produce,Red,1kg,bag,23.99,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,23.99,False,True,True,4.3,🍅
P126,Tomatoes,Loose,Groceries,Fresh Produce,Red,1kg,bag,25.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,60.49,True,True,True,4.3,🍅
P127,Tomatoes,Loose,Groceries,Fresh Produce,Red,1kg,bag,27.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,72.49,True,True,True,4.3,🍅
P128,Tomatoes,Loose,Groceries,Fresh Produce,Red,1kg,bag,25.95,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,65.95,True,True,True,4.3,🍅
P129,Tomatoes,Loose,Groceries,Fresh Produce,Red,1kg,bag,22.49,ZAR,foodlovers,Food Lover's Market Overport,Overport,-29.833,31.0,2.55,45.0,67.49,True,True,True,4.3,🍅
P130,Tomatoes,Loose,Groceries,Fresh Produce,Red,1kg,bag,21.49,ZAR,makro,Makro Springfield,Springfield Park,-29.81,31.015,5.01,65.0,86.49,True,True,True,4.3,🍅
P131,Bananas,Loose,Groceries,Fresh Produce,Yellow,1kg,bag,20.99,ZAR,shoprite,Shoprite Warwick Junction,Warwick,-29.857,31.014,0.6,0.0,20.99,False,True,True,4.6,🍌
P132,Bananas,Loose,Groceries,Fresh Produce,Yellow,1kg,bag,22.49,ZAR,checkers,Checkers Berea Centre,Berea,-29.8489,31.0056,0.7,35.0,57.49,True,True,True,4.6,🍌
P133,Bananas,Loose,Groceries,Fresh Produce,Yellow,1kg,bag,24.49,ZAR,picknpay,Pick n Pay Musgrave Centre,Musgrave,-29.8437,30.9997,1.48,45.0,69.49,True,True,True,4.6,🍌
P134,Bananas,Loose,Groceries,Fresh Produce,Yellow,1kg,bag,22.49,ZAR,spar,SPAR Glenwood,Glenwood,-29.869,30.999,1.83,40.0,62.49,True,True,True,4.6,🍌
